(U+0132)	c4b2	feff0132	LATIN CAPITAL LIGATURE IJ
(U+0133)	c4b3	feff0133	LATIN SMALL LIGATURE IJ
(U+0134)	c4b4	feff0134	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
(U+0135)	c4b5	feff0135	LATIN SMALL LETTER J WITH CIRCUMFLEX
(U+0136)	c4b6	feff0136	LATIN CAPITAL LETTER K WITH CEDILLA
(U+0137)	c4b7	feff0137	LATIN SMALL LETTER K WITH CEDILLA
(U+0138)	c4b8	feff0138	LATIN SMALL LETTER KRA
(U+0139)	c4b9	feff0139	LATIN CAPITAL LETTER L WITH ACUTE
(U+013A)	c4ba	feff013a	LATIN SMALL LETTER L WITH ACUTE
(U+013B)	c4bb	feff013b	LATIN CAPITAL LETTER L WITH CEDILLA
(U+013C)	c4bc	feff013c	LATIN SMALL LETTER L WITH CEDILLA
(U+013D)	c4bd	feff013d	LATIN CAPITAL LETTER L WITH CARON
(U+013E)	c4be	feff013e	LATIN SMALL LETTER L WITH CARON
(U+013F)	c4bf	feff013f	LATIN CAPITAL LETTER L WITH MIDDLE DOT
(U+0140)	c580	feff0140	LATIN SMALL LETTER L WITH MIDDLE DOT
(U+0141)	c581	feff0141	LATIN CAPITAL LETTER L WITH STROKE
(U+0142)	c582	feff0142	LATIN SMALL LETTER L WITH STROKE
(U+0143)	c583	feff0143	LATIN CAPITAL LETTER N WITH ACUTE
(U+0144)	c584	feff0144	LATIN SMALL LETTER N WITH ACUTE
(U+0145)	c585	feff0145	LATIN CAPITAL LETTER N WITH CEDILLA
(U+0146)	c586	feff0146	LATIN SMALL LETTER N WITH CEDILLA
(U+0147)	c587	feff0147	LATIN CAPITAL LETTER N WITH CARON
(U+0148)	c588	feff0148	LATIN SMALL LETTER N WITH CARON
(U+0149)	c589	feff0149	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
(U+014A)	c58a	feff014a	LATIN CAPITAL LETTER ENG
(U+014B)	c58b	feff014b	LATIN SMALL LETTER ENG
(U+014C)	c58c	feff014c	LATIN CAPITAL LETTER O WITH MACRON
(U+014D)	c58d	feff014d	LATIN SMALL LETTER O WITH MACRON
(U+014E)	c58e	feff014e	LATIN CAPITAL LETTER O WITH BREVE
(U+014F)	c58f	feff014f	LATIN SMALL LETTER O WITH BREVE
(U+0150)	c590	feff0150	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
(U+0151)	c591	feff0151	LATIN SMALL LETTER O WITH DOUBLE ACUTE
(U+0152)	c592	feff0152	LATIN CAPITAL LIGATURE OE
(U+0153)	c593	feff0153	LATIN SMALL LIGATURE OE
(U+0154)	c594	feff0154	LATIN CAPITAL LETTER R WITH ACUTE
(U+0155)	c595	feff0155	LATIN SMALL LETTER R WITH ACUTE
(U+0156)	c596	feff0156	LATIN CAPITAL LETTER R WITH CEDILLA
(U+0157)	c597	feff0157	LATIN SMALL LETTER R WITH CEDILLA
(U+0158)	c598	feff0158	LATIN CAPITAL LETTER R WITH CARON
(U+0159)	c599	feff0159	LATIN SMALL LETTER R WITH CARON
(U+015A)	c59a	feff015a	LATIN CAPITAL LETTER S WITH ACUTE
(U+015B)	c59b	feff015b	LATIN SMALL LETTER S WITH ACUTE
(U+015C)	c59c	feff015c	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
(U+015D)	c59d	feff015d	LATIN SMALL LETTER S WITH CIRCUMFLEX
(U+015E)	c59e	feff015e	LATIN CAPITAL LETTER S WITH CEDILLA
(U+015F)	c59f	feff015f	LATIN SMALL LETTER S WITH CEDILLA
(U+0160)	c5a0	feff0160	LATIN CAPITAL LETTER S WITH CARON
(U+0161)	c5a1	feff0161	LATIN SMALL LETTER S WITH CARON
(U+0162)	c5a2	feff0162	LATIN CAPITAL LETTER T WITH CEDILLA
(U+0163)	c5a3	feff0163	LATIN SMALL LETTER T WITH CEDILLA
(U+0164)	c5a4	feff0164	LATIN CAPITAL LETTER T WITH CARON
(U+0165)	c5a5	feff0165	LATIN SMALL LETTER T WITH CARON
(U+0166)	c5a6	feff0166	LATIN CAPITAL LETTER T WITH STROKE
(U+0167)	c5a7	feff0167	LATIN SMALL LETTER T WITH STROKE
(U+0168)	c5a8	feff0168	LATIN CAPITAL LETTER U WITH TILDE
(U+0169)	c5a9	feff0169	LATIN SMALL LETTER U WITH TILDE
(U+016A)	c5aa	feff016a	LATIN CAPITAL LETTER U WITH MACRON
(U+016B)	c5ab	feff016b	LATIN SMALL LETTER U WITH MACRON
(U+016C)	c5ac	feff016c	LATIN CAPITAL LETTER U WITH BREVE
(U+016D)	c5ad	feff016d	LATIN SMALL LETTER U WITH BREVE
(U+016E)	c5ae	feff016e	LATIN CAPITAL LETTER U WITH RING ABOVE
(U+016F)	c5af	feff016f	LATIN SMALL LETTER U WITH RING ABOVE
(U+0170)	c5b0	feff0170	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
(U+0171)	c5b1	feff0171	LATIN SMALL LETTER U WITH DOUBLE ACUTE
(U+0172)	c5b2	feff0172	LATIN CAPITAL LETTER U WITH OGONEK
(U+0173)	c5b3	feff0173	LATIN SMALL LETTER U WITH OGONEK
(U+0174)	c5b4	feff0174	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
(U+0175)	c5b5	feff0175	LATIN SMALL LETTER W WITH CIRCUMFLEX
(U+0176)	c5b6	feff0176	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
(U+0177)	c5b7	feff0177	LATIN SMALL LETTER Y WITH CIRCUMFLEX
